strain_id,generation,avg_profit
BT[-7.62393143146]DP[3.73569291349]ML[-0.203318874047],22,14.8795926876
BT[-17.5204883625]DP[3.73569291349]ML[-0.203318874047],25,14.8795926876
BT[-12.8017484655]DP[3.73569291349]ML[-0.203318874047],24,14.8795926876
BT[-17.5204883625]DP[3.73569291349]ML[-0.203318874047],25,14.8795926876
BT[-13.9413760258]DP[3.73569291349]ML[-0.203318874047],27,14.8795926876
BT[-13.9413760258]DP[3.73569291349]ML[-0.203318874047],27,14.8795926876
BT[-13.9413760258]DP[3.73569291349]ML[-0.203318874047],27,14.8795926876
BT[-13.9413760258]DP[3.73569291349]ML[-0.203318874047],27,14.8795926876
BT[-13.9413760258]DP[3.73569291349]ML[-0.203318874047],27,14.8795926876
BT[-13.9413760258]DP[3.73569291349]ML[-0.203318874047],28,14.8795926876
BT[-10.6144932723]DP[3.73569291349]ML[-0.203318874047],29,14.8795926876
BT[-13.9413760258]DP[3.73569291349]ML[-0.203318874047],29,14.8795926876
BT[-13.9413760258]DP[3.73569291349]ML[-0.203318874047],28,14.8795926876
BT[-7.22223545585]DP[3.78548531404]ML[-0.203318874047],30,14.8795926876
BT[-7.22223545585]DP[3.78548531404]ML[-0.203318874047],31,14.8795926876
BT[-3.21556649831]DP[3.78548531404]ML[-0.203318874047],32,14.8795926876
BT[-7.18357359137]DP[3.78548531404]ML[-0.203318874047],33,14.8795926876
BT[-6.95648049569]DP[3.78548531404]ML[-0.203318874047],34,14.8795926876
BT[-7.18357359137]DP[3.78548531404]ML[-0.203318874047],34,14.8795926876
BT[-7.18357359137]DP[3.78548531404]ML[-0.203318874047],35,14.8795926876
BT[-6.79557644521]DP[3.78548531404]ML[-0.203318874047],36,14.8795926876
BT[-6.79557644521]DP[3.78548531404]ML[-0.203318874047],36,14.8795926876
BT[-12.3260775165]DP[3.78548531404]ML[-0.203318874047],37,14.8795926876
BT[-6.79557644521]DP[3.78548531404]ML[-0.203318874047],38,14.8795926876
BT[-6.79557644521]DP[3.78548531404]ML[-0.203318874047],38,14.8795926876
BT[-6.79557644521]DP[3.78548531404]ML[-0.203318874047],38,14.8795926876
BT[-1.09597806474]DP[3.78548531404]ML[-0.203318874047],39,14.8795926876
BT[-7.85990595235]DP[3.78548531404]ML[-0.203318874047],40,14.8795926876
BT[-2.78304109084]DP[3.78548531404]ML[-0.203318874047],41,14.8795926876
